region,date,consumption
Bretagne,2022-02-28,3149
Bretagne,2022-03-01,3127
Bretagne,2022-03-02,3062
Bretagne,2022-03-03,3125
Bretagne,2022-03-04,3130
Bretagne,2022-03-05,3048
Bretagne,2022-03-06,2980
Bretagne,2022-03-07,3514
Bretagne,2022-03-08,3519
Bretagne,2022-03-09,3254
Bretagne,2022-03-10,3124
Bretagne,2022-03-11,3035
Bretagne,2022-03-12,2738
Bretagne,2022-03-13,2604
Bretagne,2022-03-14,2889
Bretagne,2022-03-15,2892
Bretagne,2022-03-16,2983
Bretagne,2022-03-17,3009
Bretagne,2022-03-18,2904
Bretagne,2022-03-19,2617
Bretagne,2022-03-20,2379
Bretagne,2022-03-21,2592
Bretagne,2022-12-22,2795
Bretagne,2022-12-23,2589
Bretagne,2022-12-24,2330
Bretagne,2022-12-25,2167
Bretagne,2022-12-26,2621
Bretagne,2022-12-27,2911
Bretagne,2022-12-28,2821
Bretagne,2022-12-29,2812
Bretagne,2022-12-30,2740
Bretagne,2022-12-31,2278
Bretagne,2023-01-01,2306
Bretagne,2023-01-02,2702
Bretagne,2023-01-03,3049
Bretagne,2023-01-04,2904
Bretagne,2023-01-05,2833
Bretagne,2023-01-06,2825
Bretagne,2023-01-07,2581
Bretagne,2023-01-08,2645
Bretagne,2023-01-09,3211
Bretagne,2023-01-10,3131
Bretagne,2023-01-11,2987
Bretagne,2023-01-12,3032
Bretagne,2023-01-13,3007
Bretagne,2023-01-14,2648
Bretagne,2023-01-15,2775
Bretagne,2023-01-16,3327
Bretagne,2023-01-17,3605
Bretagne,2023-01-18,3865
Bretagne,2023-01-19,3878
Bretagne,2023-01-20,3945
Bretagne,2023-01-21,3484
Bretagne,2023-01-22,3626
Bretagne,2023-01-23,4043
Bretagne,2023-01-24,3914
Bretagne,2023-01-25,3894
Bretagne,2023-01-26,3664
Bretagne,2023-01-27,3590
Bretagne,2023-01-28,3352
Bretagne,2023-01-29,3198
Bretagne,2023-01-30,3409
Bretagne,2023-01-31,3271
Bretagne,2023-02-01,3274
Bretagne,2023-02-02,3279
Bretagne,2023-02-03,3179
Bretagne,2023-02-04,2841
Bretagne,2023-02-05,2684
Bretagne,2023-02-06,3297
Bretagne,2023-02-07,3499
Bretagne,2023-02-08,3635
Bretagne,2023-02-09,3538
Bretagne,2023-02-10,3221
Bretagne,2023-02-11,2825
Bretagne,2023-02-12,2778
Bretagne,2023-02-13,3200
Bretagne,2023-02-14,3095
Bretagne,2023-02-15,2976
Bretagne,2023-02-16,2865
Bretagne,2023-02-17,2770
Bretagne,2023-02-18,2517
Bretagne,2023-02-19,2391
Bretagne,2023-02-20,3060
Bretagne,2023-02-21,3173
Bretagne,2023-02-22,3107
Bretagne,2023-02-23,3447
Bretagne,2023-02-24,3180
Bretagne,2023-02-25,2986
Bretagne,2023-02-26,2994
Bretagne,2023-02-27,3527
Bretagne,2023-02-28,3651
Bretagne,2023-03-01,3657
Bretagne,2023-03-02,3606
Bretagne,2023-03-03,3390
Bretagne,2023-03-04,3079
Bretagne,2023-03-05,2984
Bretagne,2023-03-06,3421
Bretagne,2023-03-07,3302
Bretagne,2023-03-08,2974
Bretagne,2023-03-09,2929
Bretagne,2023-03-10,3178
Bretagne,2023-03-11,2791
Bretagne,2023-03-12,2445
Bretagne,2023-03-13,2712
Bretagne,2023-03-14,2844
Bretagne,2023-03-15,2959
Bretagne,2023-03-16,2784
Bretagne,2023-03-17,2609
Bretagne,2023-03-18,2309
Bretagne,2023-03-19,2206
Bretagne,2023-03-20,2672
Bretagne,2023-03-21,2618
